Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,1,1,1,187616.16,0
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,2,0,1,124508.29,0
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,1,1,1,170041.95,0
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,2,0,0,38433.35,0
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,1,1,1,100187.43,0
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,2,1,1,53483.21,0
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,3,1,0,140469.38,1
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,1,0,1,156731.91,0
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,2,0,0,81898.81,0
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,2,1,1,34410.55,0
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2,1,1,142033.07,0
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,1,1,0,27822.99,1
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,1,0,1,114066.77,0
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,1,0,1,98453.45,0
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,1,1,1,40812.9,0
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2,0,1,178074.04,0
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,1,1,0,70154.22,0
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,1,0,0,181297.65,1
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,1,1,1,94153.83,0
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,1,0,0,194365.76,1
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,1,1,1,158338.39,0
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,2,1,1,126517.46,0
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1,1,1,119708.21,1
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,1,1,1,117622.8,1
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,1,0,1,90878.13,0
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,2,1,0,194099.12,0
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,2,1,0,198059.16,0
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2,0,0,86424.57,0
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,2,0,0,116978.19,0
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,1,0,0,164040.94,1
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,1,1,0,40014.76,1
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,1,1,1,113410.49,0
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,1,1,0,87107.57,0
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1,0,0,45613.75,0
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,1,1,0,1643.11,1
60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,1,1,1,46775.28,0
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26,1,0,0,84509.57,0
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2,0,0,126494.82,0
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2,0,0,178798.13,0
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1,1,1,99398.36,0
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,1,1,1,92840.67,0
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2,1,1,27758.36,0
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1,1,0,110431.51,0
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2,1,1,196673.28,0
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2,0,1,113656.85,0
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1,1,0,18203,0
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,4,1,0,28373.86,1
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3,1,1,0,33953.87,0
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,1,0,1,44203.55,0
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2,1,1,58426.81,0
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,2,0,1,145562.4,0
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2,1,0,22388,0
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,2,1,1,139161.64,0
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,1,1,1,148210.64,0
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,1,0,1,194239.63,0
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2,1,0,98301.61,0
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2,0,0,171413.66,0
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,1,1,0,136458.19,1
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2,0,0,26019.59,0
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11,1,1,1,159235.29,0
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,2,1,0,1907.66,0
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2,1,1,114675.75,0
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,1,1,0,128643.35,1
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,2,1,0,151869.35,0
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,3,1,0,93251.42,1
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,2,1,1,156791.36,0
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,3,1,1,174205.22,1
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2,1,0,147132.46,0
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,2,1,0,109614.57,0
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,2,1,1,172290.61,0
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,2,0,1,85982.47,0
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1,0,1,121277.78,0
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1,0,1,64595.25,0
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,2,1,1,197276.13,0
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37,2,0,0,99645.04,0
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,2,0,0,6534.18,0
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,1,1,1,161848.03,0
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,2,0,0,167162.43,0
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27,1,1,0,41970.72,0
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,2,1,0,60536.56,0
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,1,1,1,177655.68,1
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,2,1,1,30984.59,1
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1,1,1,10054.53,0
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,1,0,1,36976.52,0
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,1,0,0,71862.79,0
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,1,1,0,99449.86,1
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,1,0,1,63082.88,0
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91,2,1,0,27231.26,0
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,1,0,0,86797.41,0
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,1,0,1,22994.32,0
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,2,0,1,101300.94,1
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2,1,1,74169.13,0
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1,1,0,115638.29,0
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81,2,1,0,31766.3,0
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,1,1,0,199725.39,1
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,2,1,0,120834.48,0
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,2,0,0,38131.77,0
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,1,0,0,100130.95,0
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,2,1,0,141069.88,0
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,1,1,1,198129.36,0
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,1,0,0,183646.41,0
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,1,1,0,110265.24,1
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,1,0,1,8636.05,1
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1,1,0,46824.08,1
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,2,1,0,171378.77,0
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,1,1,0,167256.35,0
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,2,1,1,124226.16,0
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,1,1,1,114935.21,0
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,1,1,1,35608.88,0
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,2,0,1,16459.37,0
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2,1,1,124411.08,0
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,2,1,1,34941.23,0
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,1,0,1,167784.28,0
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28,1,0,1,93165.34,0
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,1,1,0,75161.25,1
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,2,0,1,8590.83,1
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,1,1,0,189543.9,0
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,2,1,1,180427.24,0
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,1,1,1,193318.33,0
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,1,1,0,159123.82,1
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,1,1,0,126213.84,1
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1,1,1,54141.5,0
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2,1,0,141075.51,0
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,1,0,0,24495.03,0
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,1,1,0,74836.34,0
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,2,0,1,878.87,0
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83,2,1,0,89520.75,0
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1,1,0,149892.79,1
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,2,1,0,180800.42,0
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,1,1,0,98646.22,0
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,2,1,1,109041.53,0
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,1,1,0,17941.16,1
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,2,0,0,82996.47,0
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,2,1,1,92067.35,0
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,1,0,1,104719.66,0
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,1,0,0,112687.57,0
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,1,0,1,84699.56,0
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,2,1,0,83473.82,0
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,1,0,0,47125.11,0
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,2,1,1,106977.8,0
165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,1,1,0,55582.54,1
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,2,1,1,139874.43,0
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43,1,1,0,162503.48,1
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,1,1,0,196499.96,0
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42,2,1,0,40721.24,1
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,2,0,0,53134.3,0
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,1,1,0,164017.89,0
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,2,1,0,155996.96,0
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,1,1,0,5472.7,1
174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,1,1,0,112187.11,0
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,2,1,1,146457.83,0
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,1,1,1,27286.1,0
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,2,1,1,130553.47,0
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,2,0,0,179351.89,0
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,1,0,1,94774.12,0
180,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,1,1,0,8080.85,1
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,1,1,1,19482.5,0
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2,2,1,1,48071.61,0
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,2,1,0,174531.27,0
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,2,1,1,55470.78,0
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,1,1,1,8546.87,1
186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,2,1,0,95857.18,0
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,1,1,0,194945.8,0
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,1,0,1,131521.72,0
189,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,2,0,1,196108.51,0
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,2,1,0,148564.76,0
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,2,0,0,92982.61,1
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,2,1,0,17675.36,0
193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,2,0,0,114996.43,0
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,1,1,0,86957.42,0
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,2,1,0,128077.8,0
196,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,1,1,1,600.36,0
197,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,2,1,1,43001.46,0
198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08,1,1,1,158591.12,0
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,2,1,1,47847.19,0
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,1,1,0,10488.44,0
201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,1,1,1,5978.2,0
202,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,1,0,1,121409.06,0
203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,1,0,1,146145.93,1
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,2,1,1,14374.86,1
205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,1,1,0,94670.77,0
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,1,1,1,179670.31,0
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5,1,0,0,199304.74,1
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,1,1,1,151954.39,0
209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,1,1,0,142513.5,1
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,1,0,1,158264.62,0
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,2,1,0,169381.9,0
